Language,CommunityButtonTID,CommunityButtonLink,CommunityButtonIcon,MoreButtonTID,MoreButtonLink,MoreButtonIcon
,TID_SETTINGS_YOUTUBE,http://www.youtube.com/HayDay,community_icon_youtube,TID_ABOUT_PRIVACY_POLICY,http://hayday.co.kr/legal.php#3,icon_settings_forums
,,,,TID_ABOUT_PARENT_GUIDE,http://supercell.com/en/parents/,icon_settings_forums
,,,,TID_ABOUT_CREDITS,HUD:CreditsHUD,icon_settings_forums
,,,,,,
DE,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day,community_icon_forums,TID_ISSUE_TYPE_RETRIEVE_LOST_FARM,HUD:RecoverLostFarmHUD,icon_settings_forums
,TID_ABOUT_FACEBOOK,http://www.facebook.com/297050457046195,logo_facebook,TID_ABOUT_TERMS_OF_SERVICE,http://supercell.com/en/terms-of-service,icon_settings_forums
,TID_ABOUT_INSTAGRAM,http://instagram.com/HayDay,community_icon_instagram,TID_ABOUT_PRIVACY_POLICY,http://supercell.com/en/privacy-policy,icon_settings_forums
,TID_ABOUT_TWITTER,http://twitter.com/hayday,community_icon_twitter,TID_ABOUT_PARENT_GUIDE,http://supercell.com/en/parents/,icon_settings_forums
,TID_SETTINGS_YOUTUBE,http://www.youtube.com/HayDay,community_icon_youtube,TID_ABOUT_CREDITS,HUD:CreditsHUD,icon_settings_forums
,TID_SETTINGS_WIKI,http://de.hayday.wikia.com,community_icon_wikia,,,
,,,,,,
FR,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day,community_icon_forums,TID_ISSUE_TYPE_RETRIEVE_LOST_FARM,HUD:RecoverLostFarmHUD,icon_settings_forums
,TID_ABOUT_FACEBOOK,http://www.facebook.com/297050457046195,logo_facebook,TID_ABOUT_TERMS_OF_SERVICE,http://supercell.com/en/terms-of-service,icon_settings_forums
,TID_ABOUT_INSTAGRAM,http://instagram.com/HayDay,community_icon_instagram,TID_ABOUT_PRIVACY_POLICY,http://supercell.com/en/privacy-policy,icon_settings_forums
,TID_ABOUT_TWITTER,http://twitter.com/hayday,community_icon_twitter,TID_ABOUT_PARENT_GUIDE,http://supercell.com/en/parents/,icon_settings_forums
,TID_SETTINGS_YOUTUBE,http://www.youtube.com/HayDay,community_icon_youtube,TID_ABOUT_CREDITS,HUD:CreditsHUD,icon_settings_forums
,TID_SETTINGS_WIKI,http://fr.hayday.wikia.com,community_icon_wikia,,,
,,,,,,
Default,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day,community_icon_forums,TID_ISSUE_TYPE_RETRIEVE_LOST_FARM,HUD:RecoverLostFarmHUD,icon_settings_forums
,TID_ABOUT_FACEBOOK,http://www.facebook.com/297050457046195,logo_facebook,TID_ABOUT_TERMS_OF_SERVICE,http://supercell.com/en/terms-of-service,icon_settings_forums
,TID_ABOUT_INSTAGRAM,http://instagram.com/HayDay,community_icon_instagram,TID_ABOUT_PRIVACY_POLICY,http://supercell.com/en/privacy-policy,icon_settings_forums
,TID_ABOUT_TWITTER,http://twitter.com/hayday,community_icon_twitter,TID_ABOUT_PARENT_GUIDE,http://supercell.com/en/parents/,icon_settings_forums
,TID_SETTINGS_YOUTUBE,http://www.youtube.com/HayDay,community_icon_youtube,TID_ABOUT_CREDITS,HUD:CreditsHUD,icon_settings_forums
,TID_SETTINGS_WIKI,http://hayday.wikia.com,community_icon_wikia,,,
