Name,ShopIconExportName,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,TileWidth,TileHeight,Price,DiamondPrice,Vouchers,VoucherCount,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,AttractsButterflies,BirdsLand,SpawnsBirds,SpawnsFrogs,TapSound,CanBuy,SpinWheelPrize,BuyExp,Theme,TagSpecial,TagNature,TagDeco,HideFromLevelUpScreen
CraneTopiary,shop_icon_crane_topiary,1,0,,sc/decos.sc,crane_topiary,1,1,,,,,,,TID_CRANE_TOPIARY_DESCRIPTION,TID_CRANE_TOPIARY,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
Exotic Topiary,shop_icon_exotic_topiary,1,0,,sc/decos.sc,exotic_topiary,1,1,,,,,,,TID_FANCY_TOPIARY_DESCRIPTION,TID_FANCY_TOPIARY,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
BikeBasket,shop_icon_bike_basket,1,0,,sc/decos.sc,bike_basket,1,2,,,,,,,TID_BIKE_BASKET_DESCRIPTION,TID_BIKE_BASKET,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
MaleBike,shop_icon_bike_boy,1,0,,sc/decos.sc,bike_boy,1,2,,,,,,,TID_MALE_BIKE_DESCRIPTION,TID_MALE_BIKE,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
LayeredTopiary,shop_icon_layered_topiary,1,0,,sc/decos.sc,layered_topiary,2,2,,,,,,,TID_LAYERED_TOPIARY_DESCRIPTION,TID_LAYERED_TOPIARY,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterfall,shop_icon_waterfall,21,0,,sc/decos.sc,waterfall,3,3,,,Voucher4,15,,,TID_WATERFALL_DESCRIPTION,TID_WATERFALL,Buy,,,,,TapDecorationWater,TRUE,,350,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrogKing,shop_icon_frog_king,1,0,,sc/decos.sc,frog_king,1,1,,,,,,,TID_FROGKING_DESCRIPTION,TID_FROGKING,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
Tortoise,shop_icon_tortoise,1,0,,sc/decos.sc,tortoise,1,1,,,,,,,TID_TORTOISE_DESCRIPTION,TID_TORTOISE,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
GardenBoyStatue,shop_icon_garden_boy_statue,1,0,,sc/decos.sc,garden_boy_statue,2,2,,,,,,,TID_GARDENBOYSTATUE_DESCRIPTION,TID_GARDENBOYSTATUE,Buy,,,,,TapDecorationWater,,,,,TRUE,,,
Snail,shop_icon_snail,1,0,,sc/decos.sc,snail,1,1,,,,,,,TID_SNAIL_DESCRIPTION,TID_SNAIL,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
Windmill,shop_icon_windmill,1,0,,sc/decos.sc,windmill,1,1,,,,,,,TID_WINDMILL_DESCRIPTION,TID_WINDMILL,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
OldBike,shop_icon_old_bike,1,0,,sc/decos.sc,old_bike,2,1,,,,,,,TID_OLD_BIKE_DESCRIPTION,TID_OLD_BIKE,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
TractorGift,shop_icon_tractor,1,0,,sc/decos.sc,tractor,3,2,,,,,,,TID_TRACTOR_DESCRIPTION,TID_TRACTOR,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PineTree_Big,shop_icon_deco_fir_big_01,28,0,,sc/decos.sc,deco_fir_big_01,1,1,,,Voucher3,2,,,TID_PINETREE_BIG_DESCRIPTION,TID_PINETREE_BIG,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,
PineTree_Med,shop_icon_deco_fir_normal_01,28,0,,sc/decos.sc,deco_fir_medium_01,1,1,,,Voucher1,5,,,TID_PINETREE_MED_DESCRIPTION,TID_PINETREE_MED,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,
PineTree_Small,shop_icon_deco_fir_small_01,25,0,,sc/decos.sc,deco_fir_small_01,1,1,6000,,,,1000,1,TID_PINETREE_SMALL_DESCRIPTION,TID_PINETREE_SMALL,Buy,,TRUE,,,BigPineTap,TRUE,,75,,,TRUE,,
LeafyTree_Big1,shop_icon_deco_leafy_big_01,28,0,,sc/decos.sc,deco_leafy_big_01,1,1,,,Voucher1,5,,,TID_LEAFYTREE_BIG1_DESCRIPTION,TID_LEAFYTREE_BIG1,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,
LeafyTree_Big2,shop_icon_deco_leafy_big_02,28,0,,sc/decos.sc,deco_leafy_big_02,1,1,,,Voucher2,3,,,TID_LEAFYTREE_BIG2_DESCRIPTION,TID_LEAFYTREE_BIG2,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,
LeafyTree_Small,shop_icon_deco_leafy_small_01,25,0,,sc/decos.sc,deco_leafy_small_01,1,1,6000,,,,1000,1,TID_LEAFYTREE_SMALL_DESCRIPTION,TID_LEAFYTREE_SMALL,Buy,,TRUE,,,BigPineTap,TRUE,,75,,,TRUE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor,shop_icon_tractor,45,0,,sc/decos.sc,tractor,3,2,1500000,,,,250000,1,TID_TRACTOR_DESCRIPTION,TID_TRACTOR,Buy,,,,,TapDecorationGeneric,TRUE,,1000,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PicnicMat,shop_icon_picnic,1,0,,sc/decos.sc,picnic,1,1,,7,,,,,TID_DECO_PICNICMAT_DESCRIPTION,TID_DECO_PICNICMAT,Buy,,,,,TapDecorationGeneric,TRUE,,25,Summer2015,TRUE,,,
PoolWithSlide,shop_icon_poolwithslide,1,0,,sc/decos.sc,pool_with_slide,1,1,6000,,,,1000,1,TID_DECO_POOLWITHSLIDE_DESCRIPTION,TID_DECO_POOLWITHSLIDE,Buy,,,,,TapDecorationWater,TRUE,,25,Summer2015,TRUE,,,
StatueET,shop_icon_etstatue,43,0,,sc/decos.sc,et_statue,1,1,1000000,,,,250000,1,TID_DECO_STATUE_ET_DESCRIPTION,TID_DECO_STATUE_ET,Buy,,,,,TapDecorationGeneric,TRUE,,250,,TRUE,,,
StatueSinging,shop_icon_singingstatue,46,0,,sc/decos.sc,singing_statue,1,1,1250000,,,,250000,1,TID_DECO_STATUE_SINGING_DESCRIPTION,TID_DECO_STATUE_SINGING,Buy,,,,,TapDecorationGeneric,TRUE,,250,,TRUE,,,
StatueAlice,shop_icon_alicestatue,49,0,,sc/decos.sc,alice_statue,1,1,1500000,,,,250000,1,TID_DECO_STATUE_ALICE_DESCRIPTION,TID_DECO_STATUE_ALICE,Buy,,,,,TapDecorationGeneric,TRUE,,250,,TRUE,,,
StatueRocky,shop_icon_rockystatue,52,0,,sc/decos.sc,rocky_statue,1,1,1750000,,,,250000,1,TID_DECO_STATUE_ROCKY_DESCRIPTION,TID_DECO_STATUE_ROCKY,Buy,,,,,TapDecorationGeneric,TRUE,,250,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlOfTheSea,shop_icon_pearl_of_the_sea,1,0,,sc/decos.sc,pearl_of_the_sea,1,1,,,,,,,TID_PEARLOFTHESEA_DESCRIPTION,TID_PEARLOFTHESEA,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HalloweenTombstone,shop_icon_tombstone_diamond,1,0,,sc/decos.sc,halloween_tombstone_diamond,1,1,,10,,,,,TID_DECO_HALLOWEEN_TOMBSTONE_DESC,TID_DECO_HALLOWEEN_TOMBSTONE,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
HalloweenPumpkintotem,shop_icon_pumpkin_tome,1,0,,sc/decos.sc,halloween_pumpkin_totem,1,1,5000,,,,1000,1,TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,TID_DECO_HALLOWEEN_PUMPKINTOTEM,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
HalloweenCoffin,shop_icon_coffin,1,0,,sc/decos.sc,halloween_coffin,2,2,,999,,,,,TID_DECO_HALLOWEEN_COFFIN_DESC,TID_DECO_HALLOWEEN_COFFIN,Buy,,,,,TapDecorationGeneric,,,25,,TRUE,,,
HalloweenDeadTree,shop_icon_dead_tree,1,0,,sc/decos.sc,halloween_dead_tree,1,1,,40,,,,,TID_DECO_HALLOWEEN_DEAD_TREE_DESC,TID_DECO_HALLOWEEN_DEAD_TREE,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
HalloweenPumpkinLantern,shop_icon_pumpkin,1,0,,sc/decos.sc,halloween_pumpkin,1,1,2000,,,,500,1,TID_DECO_HALLOWEEN_PUMPKIN_DESC,TID_DECO_HALLOWEEN_PUMPKIN,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
HalloweenCauldron,shop_icon_cauldron,1,0,,sc/decos.sc,halloween_cauldron,1,1,,15,,,,,TID_DECO_HALLOWEEN_CAULDRON_DESC,TID_DECO_HALLOWEEN_CAULDRON,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChristmasSnowglobe,shop_icon_snowglobe,1,0,,sc/decos.sc,snowglobe,2,2,,110,,,,,TID_DECO_CHRISTMAS_SNOWGLOBE_DESC,TID_DECO_CHRISTMAS_SNOWGLOBE,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
ChristmasLantern,shop_icon_snowball_lantern,1,0,,sc/decos.sc,snowball_lantern,1,1,,5,,,,,TID_DECO_CHRISTMAS_LANTERN_DESC,TID_DECO_CHRISTMAS_LANTERN,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
ChristmasSledge,shop_icon_sledge,1,0,,sc/decos.sc,sledge,1,1,,90,,,,,TID_DECO_CHRISTMAS_SLEDGE_DESC,TID_DECO_CHRISTMAS_SLEDGE,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
NewYearTelescope,shop_icon_telescope,1,0,,sc/decos.sc,telescope,1,1,,90,,,,,TID_DECO_NEWYEAR_TELESCOPE_DESC,TID_DECO_NEWYEAR_TELESCOPE,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear2014,TRUE,,,
NewYearBalloonPig,shop_icon_balloon_pig,1,0,,sc/decos.sc,balloon_pig,1,1,,12,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_NEWYEAR_BALLOON,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear2014,TRUE,,,
ChristmasCarousel,shop_icon_carousel,1,0,,sc/decos.sc,carousel,2,2,,120,,,,,TID_DECO_CHRISTMAS_CAROUSEL_DESC,TID_DECO_CHRISTMAS_CAROUSEL,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
ValentinesCupidStatue,shop_icon_valentines_day_cupid_statue,1,0,,sc/decos.sc,valentines_day_cupid_statue,1,1,,90,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_VALENTINES_CUPID,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
BalloonCow,shop_icon_balloon_cow,1,0,,sc/decos.sc,balloon_cow,1,1,,12,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_BALLOON_COW,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear2014,TRUE,,,
BalloonChicken,shop_icon_balloon_chicken,1,0,,sc/decos.sc,balloon_chicken,1,1,,12,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_BALLOON_CHICKEN,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear2014,TRUE,,,
RoseArch,shop_icon_rose_arch,53,0,,sc/decos.sc,rose_arch,2,1,,,Voucher1,13,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_ROSEARCH,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,
EasterBasket,shop_icon_easterbasket,1,0,,sc/decos.sc,easter_basket,1,1,,45,,,,,TID_DECO_EASTERBASKET_DESC,TID_DECO_EASTERBASKET,Buy,,,,,TapDecorationGeneric,TRUE,,25,Easter2015,TRUE,,,
StreetLight,shop_icon_streetlight,0,4,,sc/decos.sc,streetlight,1,1,1000,,,,100,1,TID_DECO_STREETLIGHT_DESC,TID_DECO_STREETLIGHT,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
LeafyPlant,shop_icon_leafyplant,0,6,,sc/decos.sc,leafy_plant,1,1,,,Voucher1,3,,,TID_DECO_LEAFYPLANT_DESC,TID_DECO_LEAFYPLANT,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,
,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,
Hydrant,shop_icon_hydrant,0,7,,sc/decos.sc,hydrant,1,1,,7,,,,,TID_DECO_HYDRANT_DESC,TID_DECO_HYDRANT,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
MushroomHouse,shop_icon_gnome_mushroom_house,1,0,,sc/decos.sc,gnome_mushroom_house,1,1,,25,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_MUSHROOM_HOUSE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
Beachchair1,shop_icon_beachchair1,0,13,,sc/decos.sc,beach_chair_01,1,1,2000,,,,200,,TID_DECO_BEACHCHAIR1_DESC,TID_DECO_BEACHCHAIR1,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
Beachchair2,shop_icon_beachchair2,0,14,,sc/decos.sc,beach_chair_02,1,1,2000,,,,200,,TID_DECO_BEACHCHAIR2_DESC,TID_DECO_BEACHCHAIR2,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
Sandcastle,shop_icon_sandcastle,0,15,,sc/decos.sc,sandcastle,1,1,,,Voucher4,1,,,TID_DECO_SANDCASTLE_DESC,TID_DECO_SANDCASTLE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,
HalloweenGargoyle,shop_icon_gargoyle,1,0,,sc/decos.sc,halloween_gargoyle,1,1,,90,,,,,TID_DECO_GARGOYLE_DESC,TID_DECO_GARGOYLE,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,TRUE,
HalloweenBirdhouse,shop_icon_birdhouse_3,1,0,,sc/decos.sc,halloween_birdhouse,1,1,,20,,,,,TID_DECO_HAUNTED_BIRDHOUSE_DESC,TID_DECO_HAUNTED_BIRDHOUSE,Buy,,TRUE,TRUE,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
ChristmasBell,shop_icon_christmas_bell,1,0,,sc/decos.sc,christmas_bell,2,1,,999,,,,,TID_DECO_CHRISTMAS_BELL_DESC,TID_DECO_CHRISTMAS_BELL,Buy,,,,,TapDecorationXmas,,,25,Christmas2014,TRUE,,,
