Name,IntValue,StringValue,BooleanValue
FruitTreeFBURL,,http://game.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FruitTreeFBURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FriendBarRefreshTimeSeconds,300,,
FacebookLoginDiamondReward,5,,
AvatarInfoWaitSeconds,20,,
FaqURL,,http://webcontent.supercell.net/hayday_faq,
UpdateURL,,,
MaintenanceURL,,,
BoyName,,TID_TOM,
RoadsideShopStandAdvertisementLifeMinutes,180,,
UniqueFarmFacebookURL,,http://game.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
UniqueFarmFacebookURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
FacebookConnectWaitTime,20,,
FacebookConnectWaitTime_ANDROID,90,,
FacebookLikeCacheMinutes,5,,
DraggableButtonImprovedDragAccuracyEnabled,1,,
DebugMysteryBoxName,,Box13,
FeedbackEmailUrlOnly,,hayday.feedback@supercell.net,
FeedbackEmailUrlOnly_ANDROID,,hayday.android@supercell.net,
ShopScrollMS,1000,,
MaxAmbientAnimals,50,,
BACKGROUND_EXPORT_NAME_DECO_LAYER_01,,deco_layer_01,
BACKGROUND_EXPORT_NAME_BG_EDGE_EAST,,bg_edge_east,
BACKGROUND_EXPORT_NAME_BG_EDGE_NORTH,,bg_edge_north,
BACKGROUND_EXPORT_NAME_BG_EDGE_SOUTH,,bg_edge_south,
BACKGROUND_EXPORT_NAME_BG_EDGE_WEST,,bg_edge_west,
FBConnectPopup,2,,
BackgroundColor,,FF698E1C,
CloudsExportName,,cloud_formation,
AdColonyVideoZone,,vz183e4ebd9cb84e298f20ae,
AdColonyDebugVideoZone,,vz22a8eb884d74461da4d8d7,
AdColonyVideoZone_ANDROID,,vz89813cc064484a8dbf,
AdColonyDebugVideoZone_ANDROID,,vzebff7b516a1f4b10b9,
NewFeedbackFormat,,,TRUE
FriendMetaQueryIntervalSeconds,30,,
SnowfallEnabled,,,
SnowfallFlakesHigh,400,,
SnowfallFlakesLow,200,,
ApproxPCRate,31,,
MajorThreshold,150,,
PurchaseLimitUSD,150,,
PurchaseLimitTimeMinutes,15,,
OfferDelaySeconds,5,,
PurchaseConfirmationDiamondLimit,0,,
LeaderboardTimeoutSeconds,30,,
CoinPurchaseType,0,,
MinLevelForPushNotification,5,,
GiftTimeSeconds,60,,
GiftFadeTimeSeconds,5,,
NewspaperAdLocation,,Newspaper,
CatalogueAdLocation,,package-catalog,
TwoStarFishCumulativeProbabilityLimit,60,,
ThreeStarFishCumulativeProbabilityLimit,95,,
MaxSurplusProductionGoods,50,,
LongHoldDurationMS,1000,,
RoadsideShopStandNewSaleIncreasePriceClampMax,500,,
MaxFollowerPages,10,,
FollowerPageSize,50,,
GlobalEventRefreshSeconds,10,,
JPShopItemNameFont,,h4,
JPShopItemNameFontMobile,,h5,
MaxParallelProfilePictureDownloads,0,,
FacebookOpenGraphObjectURL,,http://game.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookOpenGraphObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookAchievementObjectURL,,http://game.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
FacebookAchievementObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
DeviceLinkCodeLength,12,,
DeviceLinkCodeValidSeconds,300,,
UseDeviceLink,,,TRUE
DeviceLinkHighestXpLevelAllowingOverride,0,,
DeviceLinkHighestPurchasesRealMoneyAllowingOverride,0,,
DeviceLinkRequirePlatformBinding,,,FALSE
LOW_RES_DEVICES,,iPod1,
,,iPod2,
,,iPod3,
,,iPod4,
,,iPad1,
,,"iPad2,5",
,,"iPad2,6",
,,"iPad2,7",
,,iPhone1,
,,iPhone2,
LOW_RES_DEVICES_ANDROID,,st25i,
,,GT-N7000,
,,GT-i8190N,
,,U8950,
,,SM-T211,
HIGH_MEMORY_LIMIT_ANDROID,512,,
ConfirmButtonPressDurationMillis,200,,
ConfirmButtonFadeoutDurationMillis,1000,,
ConfirmButtonPressToShortHintLimitMillis,50,,
ConfirmButtonPressToLongHintLimitMillis,2000,,
AndroidGoogleLoginPopupExpLevel,9,,
AndroidGoogleLoginPopupExpLevelInterval,2,,
AndroidGoogleLoginPopupPurchaseInterval,1,,
IAPFailRetryIntervalSeconds,3600,,
IAPFailRetryCount,10,,
BufferServerCommands,,,TRUE
MaxNeighborhoodNameLength,25,,
MinNeighborhoodNameLength,3,,
MaxNeighborhoodDescriptionLength,70,,
CreateNeighborhoodCoinPrice,500,,
WhaleLimit,15000,,
SuperWhaleLimit,50000,,
ShopSortAndAddItemsDelayMS,100,,
ShopSortAndAddItemsDelayMSLowRes,500,,
ForumURL,,http://forum.supercell.net/forumdisplay.php/5-Hay-Day,
AppBankURL,,http://www.appbank.net/2013/10/21/iphone-application/687048.php,
MaxGCPopup,20,,
LoginTimeoutSeconds,120,,
RoadsideShopStandDiamondPriceIncrease,2,,
ChooseYourFarmSupportURL,,http://supercell.helpshift.com/a/hay-day/?s=lost-account&f=choosing-the-correct-farm,
SaveYourFarmSupportURL,,http://supercell.helpshift.com/a/hay-day/?s=lost-account&f=why-should-i-save-my-farm,
MaxRoadsideShopStandCount,500,,
ChooseYourFarmHelpshiftID,,987,
SaveYourFarmHelpshiftID,,982,
CalibrateClientTimeTrackingThreshold,10,,
CalibrateClientTimeTrackingCollectionCount,50,,
CalibrateClientTimeCollectionCount,10,,
HowToUpdateIOSSupportURL,,http://supercell.helpshift.com/a/hay-day/?s=settings&f=update-from-ios4-to-ios5-or-later,
DerbyHelpshiftID,,56,
DerbyHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?s=neighbourhoods&f=derby-tutorial,
DerbyTaskTimeLeftPercentNotification,20,,
DerbyMinutesLeftNotification,2880,,
DerbySaveStateToLogic,,,TRUE
GCLoadAsync,,,TRUE
GCLoadPhotoAsync,,,TRUE
GCLoadPhoto,,,TRUE
SCCacheWriteEnabled,,,
SCCacheWriteFreeSpaceLimit,200,,
SCCacheLoadEnabled,,,
SCCacheUseModulo,500,,
TermsOfServiceHelpshiftID,,1777,
PrivacyPolicyHelpshiftID,,1776,
TermsOfServiceHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=forums-facebook-other-useful-links&f=terms-of-service,
PrivacyPolicyHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=forums-facebook-other-useful-links&f=privacy-policy,
DerbyOptOutNotificationIntervalMinutes,360,,
DerbyOptOutNotificationCount,2,,
