TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
,336,336,336,336,636,636,636,636,636,636,636,436,436,436,436,836,836,836,836,1236,1236,1236,1236,1236,1236,1236,1236,1236,1336,1336,1336,1336
,336,336,336,336,636,636,636,636,636,636,636,436,436,436,436,836,836,836,836,1236,1236,1236,1236,1236,1236,1236,1236,1236,1336,1336,1336,1336
,336,336,336,336,636,636,636,636,636,636,636,436,436,436,436,836,836,836,836,1236,1236,1236,1236,1236,1236,1236,1236,1236,1336,1336,1336,1336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpecialObjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,String,int,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drasine,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TrainStation,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TrainCrossingTop,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TrainCrossingBottom,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NeighborhoodEventBoard,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EventBoard,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Town Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,redrock_1x1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,7,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,4,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,27,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,7,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,redrock_2x2_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,29,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,27,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,27,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,30,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,15,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pine_small_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,30,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,27,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pine_big_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,27,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,13,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pine_big_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,18,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,18,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,28,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,29,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,14,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,train_fir_small_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,14,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,5,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,12,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,26,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,train_fir_medium_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,train_fir_medium_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,5,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,12,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,train_fir_big_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wildbush01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,19,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,4,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,13,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,18,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,14,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,puddle_3x3_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,12,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SoundName,X,Y,Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,String,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TrainAmbience,16,16,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ocean,7,36,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ocean,16,36,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ocean,27,36,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
