Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,GiftCardPrice,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel
,,,,,Chocolate Ice Cream,,10,1,,,,,,,,,,,
,,,,,Apple Jam,,10,1,,,,,,,,,,,
,,,,,Raspberry Jam,,10,1,,,,,,,,,,,
,,,,,Blackberry Jam,,10,1,,,,,,,,,,,
,,,,,Cherry Jam,,10,1,,,,,,,,,,,
,,,,,Strawberry Jam,,10,1,,,,,,,,,,,
ToolsPackage1,Toolbox,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,Prize1,4,20,5,2,2,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Demolition Charge,,2,15,,,,,,,,,,,
,,,,,Dynamite,,2,10,,,,,,,,,,,
,,,,,Saw,,2,10,,,,,,,,,,,
,,,,,Axe,Prize2,4,20,,,,,,,,,,,
,,,,,Axe,,2,15,,,,,,,,,,,
,,,,,Shovel,,2,10,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,
ToolsPackage2,Toolbox,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,10,5,2,2,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Dynamite,Prize2,4,15,,,,,,,,,,,
,,,,,Dynamite,,2,15,,,,,,,,,,,
,,,,,Saw,,2,15,,,,,,,,,,,
,,,,,Axe,,2,10,,,,,,,,,,,
,,,,,Shovel,Prize1,4,20,,,,,,,,,,,
,,,,,Shovel,,2,15,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,
ToolsPackage3,Toolbox,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,15,5,2,2,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Dynamite,,2,10,,,,,,,,,,,
,,,,,Saw,Prize1,4,20,,,,,,,,,,,
,,,,,Saw,,2,15,,,,,,,,,,,
,,,,,Axe,Prize2,4,15,,,,,,,,,,,
,,,,,Axe,,2,15,,,,,,,,,,,
,,,,,Shovel,,2,10,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,
ToolsPackage4,Toolbox,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,20,5,2,2,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Dynamite,Prize1,4,25,,,,,,,,,,,
,,,,,Dynamite,,2,10,,,,,,,,,,,
,,,,,Saw,,2,10,,,,,,,,,,,
,,,,,Axe,,2,10,,,,,,,,,,,
,,,,,Shovel,Prize2,4,15,,,,,,,,,,,
,,,,,Shovel,,2,10,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,
SmallDecoPack1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Snail,Prize1,1,10,25,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Butterfly,,1,15,,,,,,,,,,,
,,,,,GnomeFemale,,1,10,,,,,,,,,,,
,,,,,HeartTopiary,,1,10,,,,,,,,,,,
,,,,,Exotic Topiary,,1,30,,,,,,,,,,,
,,,,,MaleBike,Prize2,1,10,,,,,,,,,,,
,,,,,LayeredTopiary,,1,15,,,,,,,,,,,
SmallDecoPack1_1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Snail,Prize1,1,10,25,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,Butterfly,,1,15,,,,,,,,,,,
,,,,,GnomeFemale,Prize2,1,10,,,,,,,,,,,
,,,,,HeartTopiary,,1,30,,,,,,,,,,,
,,,,,Exotic Topiary,,1,10,,,,,,,,,,,
,,,,,MaleBike,,1,15,,,,,,,,,,,
,,,,,LayeredTopiary,,1,10,,,,,,,,,,,
SmallDecoPack2,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,OldBike,Prize1,1,10,25,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,25,,,,,,,,,,,
,,,,,Caterpillar,,1,15,,,,,,,,,,,
,,,,,GnomeMale,,1,10,,,,,,,,,,,
,,,,,CraneTopiary,,1,15,,,,,,,,,,,
,,,,,BikeBasket,Prize2,1,10,,,,,,,,,,,
,,,,,LayeredTopiary,,1,15,,,,,,,,,,,
SmallDecoPack2_1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,OldBike,Prize1,1,10,25,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,15,,,,,,,,,,,
,,,,,Caterpillar,,1,25,,,,,,,,,,,
,,,,,GnomeMale,Prize2,1,15,,,,,,,,,,,
,,,,,CraneTopiary,,1,15,,,,,,,,,,,
,,,,,BikeBasket,,1,10,,,,,,,,,,,
,,,,,LayeredTopiary,,1,10,,,,,,,,,,,
BigDecoPack1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Windmill,Prize1,1,6,35,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,13,,,,,,,,,,,
,,,,,Butterfly,,1,13,,,,,,,,,,,
,,,,,Caterpillar,,1,13,,,,,,,,,,,
,,,,,GnomeFemale,,1,13,,,,,,,,,,,
,,,,,HeartTopiary,,1,8,,,,,,,,,,,
,,,,,CraneTopiary,Prize2,1,9,,,,,,,,,,,
,,,,,Exotic Topiary,,1,8,,,,,,,,,,,
,,,,,MaleBike,,1,9,,,,,,,,,,,
,,,,,LayeredTopiary,,1,8,,,,,,,,,,,
BigDecoPack1_1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Windmill,Prize1,1,6,35,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,13,,,,,,,,,,,
,,,,,Butterfly,,1,13,,,,,,,,,,,
,,,,,Caterpillar,,1,13,,,,,,,,,,,
,,,,,GnomeFemale,Prize2,1,13,,,,,,,,,,,
,,,,,HeartTopiary,,1,8,,,,,,,,,,,
,,,,,CraneTopiary,,1,9,,,,,,,,,,,
,,,,,Exotic Topiary,,1,8,,,,,,,,,,,
,,,,,MaleBike,,1,9,,,,,,,,,,,
,,,,,LayeredTopiary,,1,8,,,,,,,,,,,
BigDecoPack2,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,TractorGift,Prize1,1,6,35,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,9,,,,,,,,,,,
,,,,,Butterfly,,1,9,,,,,,,,,,,
,,,,,Caterpillar,,1,8,,,,,,,,,,,
,,,,,GnomeMale,,1,8,,,,,,,,,,,
,,,,,HeartTopiary,,1,13,,,,,,,,,,,
,,,,,CraneTopiary,,1,13,,,,,,,,,,,
,,,,,Exotic Topiary,,1,13,,,,,,,,,,,
,,,,,MaleBike,,1,13,,,,,,,,,,,
,,,,,LayeredTopiary,Prize2,1,8,,,,,,,,,,,
BigDecoPack2_1,Exclusive,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,TractorGift,Prize1,1,6,35,2,2,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
,,,,,LadyBug,,1,9,,,,,,,,,,,
,,,,,Butterfly,,1,9,,,,,,,,,,,
,,,,,Caterpillar,,1,8,,,,,,,,,,,
,,,,,GnomeMale,,1,8,,,,,,,,,,,
,,,,,HeartTopiary,,1,13,,,,,,,,,,,
,,,,,CraneTopiary,,1,13,,,,,,,,,,,
,,,,,Exotic Topiary,,1,13,,,,,,,,,,,
,,,,,MaleBike,,1,13,,,,,,,,,,,
,,,,,LayeredTopiary,Prize2,1,8,,,,,TID_GIFT_FISHING_TITLE,,,,,,
MassGift,MassGift,sc/buildings_new.sc,post_package_exclusive_letter,icon_gift_box_01,FreeCash,,,100,,2,2,TreasureBox,,,,,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
GlobalEventPackage,MassGift,sc/buildings_new.sc,post_package_global,icon_gift_box_01,FreeCash,,,100,,2,2,TreasureBox,,,,,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,
TownPackage1,Town,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,Prize1,1,20,10,2,2,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2
,,,,,Hand Drill,Prize2,1,20,,,,,,,,,,,
,,,,,Paint Bucket,,1,20,,,,,,,,,,,
,,,,,Stone Block,,1,20,,,,,,,,,,,
,,,,,Brick,,1,20,,,,,,,,,,,
,,,,,Tar Bucket,,1,20,,,,,,,,,,,
,,,,,Map Piece,,1,1,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,
,,,,,Map Piece,,3,1,,,,,,,,,,,
TownPackage2,Town,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,10,2,2,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2
,,,,,Hand Drill,,1,20,,,,,,,,,,,
,,,,,Paint Bucket,Prize1,1,20,,,,,,,,,,,
,,,,,Stone Block,Prize2,1,20,,,,,,,,,,,
,,,,,Brick,,1,20,,,,,,,,,,,
,,,,,Tar Bucket,,1,20,,,,,,,,,,,
,,,,,Map Piece,,1,1,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,
,,,,,Map Piece,,3,1,,,,,,,,,,,
TownPackage3,Town,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,10,2,2,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2
,,,,,Hand Drill,,1,20,,,,,,,,,,,
,,,,,Paint Bucket,,1,20,,,,,,,,,,,
,,,,,Stone Block,,1,20,,,,,,,,,,,
,,,,,Brick,Prize1,1,20,,,,,,,,,,,
,,,,,Tar Bucket,Prize2,1,20,,,,,,,,,,,
,,,,,Map Piece,,1,1,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,
,,,,,Map Piece,,3,1,,,,,,,,,,,
TownPackage4,Town,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,10,2,2,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2
,,,,,Hand Drill,,1,20,,,,,,,,,,,
,,,,,Paint Bucket,Prize2,1,20,,,,,,,,,,,
,,,,,Stone Block,,1,20,,,,,,,,,,,
,,,,,Brick,,1,20,,,,,,,,,,,
,,,,,Tar Bucket,Prize1,1,20,,,,,,,,,,,
,,,,,Map Piece,,1,1,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,
,,,,,Map Piece,,3,1,,,,,,,,,,,
